study_accession,accession,condition,run,fq1,fq2
GSE84293,GSM2231182,SCC,SRR3877322,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877322_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877322_2.fastq
E-MTAB-5678,ERS1721581,AK,ERR1971038,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971038_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971038_2.fastq.gz
E-MTAB-5678,ERS1721582,AK,ERR1971039,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971039_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971039_2.fastq.gz
E-MTAB-5678,ERS1721583,AK,ERR1971040,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971040_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971040_2.fastq.gz
E-MTAB-5678,ERS1721584,AK,ERR1971041,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971041_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971041_2.fastq.gz
E-MTAB-5678,ERS1721585,AK,ERR1971042,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971042_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971042_2.fastq.gz
E-MTAB-5678,ERS1721586,AK,ERR1971043,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971043_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971043_2.fastq.gz
E-MTAB-5678,ERS1721587,AK,ERR1971044,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971044_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971044_2.fastq.gz
E-MTAB-5678,ERS1721588,AK,ERR1971045,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971045_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971045_2.fastq.gz
E-MTAB-5678,ERS1721589,AK,ERR1971046,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971046_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971046_2.fastq.gz
E-MTAB-5678,ERS1721590,AK,ERR1971047,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971047_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971047_2.fastq.gz
E-MTAB-5678,ERS1721591,AK,ERR1971048,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971048_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971048_2.fastq.gz
E-MTAB-5678,ERS1721592,AK,ERR1971049,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971049_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971049_2.fastq.gz
E-MTAB-5678,ERS1721593,AK,ERR1971050,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971050_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971050_2.fastq.gz
E-MTAB-5678,ERS1721594,IEC,ERR1971051,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971051_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971051_2.fastq.gz
E-MTAB-5678,ERS1721595,IEC,ERR1971052,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971052_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971052_2.fastq.gz
E-MTAB-5678,ERS1721596,IEC,ERR1971053,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971053_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971053_2.fastq.gz
E-MTAB-5678,ERS1721597,IEC,ERR1971054,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971054_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971054_2.fastq.gz
E-MTAB-5678,ERS1721598,IEC,ERR1971055,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971055_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971055_2.fastq.gz
E-MTAB-5678,ERS1721599,IEC,ERR1971056,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971056_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971056_2.fastq.gz
E-MTAB-5678,ERS1721600,IEC,ERR1971057,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971057_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971057_2.fastq.gz
E-MTAB-5678,ERS1721601,NS,ERR1971058,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971058_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971058_2.fastq.gz
E-MTAB-5678,ERS1721602,NS,ERR1971059,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971059_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971059_2.fastq.gz
E-MTAB-5678,ERS1721603,NS,ERR1971060,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971060_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971060_2.fastq.gz
E-MTAB-5678,ERS1721604,NS,ERR1971061,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971061_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971061_2.fastq.gz
E-MTAB-5678,ERS1721605,SCC,ERR1971062,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971062_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971062_2.fastq.gz
E-MTAB-5678,ERS1721606,SCC,ERR1971063,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971063_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971063_2.fastq.gz
E-MTAB-5678,ERS1721607,SCC,ERR1971064,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971064_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971064_2.fastq.gz
E-MTAB-5678,ERS1721608,SCC,ERR1971065,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971065_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971065_2.fastq.gz
E-MTAB-5678,ERS1721609,SCC,ERR1971066,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971066_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR1971066_2.fastq.gz
E-MTAB-6430,ERS2166487,IEC,ERR2274877,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274877_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274877_2.fastq.gz
E-MTAB-6430,ERS2166488,Mixed,ERR2274878,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274878_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274878_2.fastq.gz
E-MTAB-6430,ERS2166489,Mixed,ERR2274879,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274879_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274879_2.fastq.gz
E-MTAB-6430,ERS2166490,BCC,ERR2274880,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274880_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274880_2.fastq.gz
E-MTAB-6430,ERS2166491,IEC,ERR2274881,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274881_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274881_2.fastq.gz
E-MTAB-6430,ERS2166492,IEC,ERR2274882,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274882_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274882_2.fastq.gz
E-MTAB-6430,ERS2166493,Mixed,ERR2274883,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274883_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274883_2.fastq.gz
E-MTAB-6430,ERS2166494,Mixed,ERR2274884,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274884_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274884_2.fastq.gz
E-MTAB-6430,ERS2166495,Mixed,ERR2274885,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274885_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274885_2.fastq.gz
E-MTAB-6430,ERS2166496,Mixed,ERR2274886,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274886_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274886_2.fastq.gz
E-MTAB-6430,ERS2166497,Mixed,ERR2274887,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274887_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274887_2.fastq.gz
E-MTAB-6430,ERS2166498,SCC,ERR2274888,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274888_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274888_2.fastq.gz
E-MTAB-6430,ERS2166499,IEC,ERR2274889,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274889_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274889_2.fastq.gz
E-MTAB-6430,ERS2166500,IEC,ERR2274890,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274890_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274890_2.fastq.gz
E-MTAB-6430,ERS2166501,Mixed,ERR2274891,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274891_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274891_2.fastq.gz
E-MTAB-6430,ERS2166502,IEC,ERR2274892,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274892_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274892_2.fastq.gz
E-MTAB-6430,ERS2166503,SCC,ERR2274893,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274893_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274893_2.fastq.gz
E-MTAB-6430,ERS2166504,AK,ERR2274894,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274894_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274894_2.fastq.gz
E-MTAB-6430,ERS2166505,Mixed,ERR2274895,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274895_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274895_2.fastq.gz
E-MTAB-6430,ERS2166506,Mixed,ERR2274896,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274896_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274896_2.fastq.gz
E-MTAB-6430,ERS2166507,IEC,ERR2274897,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274897_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274897_2.fastq.gz
E-MTAB-6430,ERS2166508,IEC,ERR2274898,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274898_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274898_2.fastq.gz
E-MTAB-6430,ERS2166509,Mixed,ERR2274899,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274899_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274899_2.fastq.gz
E-MTAB-6430,ERS2166510,SCC,ERR2274900,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274900_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274900_2.fastq.gz
E-MTAB-6430,ERS2166511,IEC,ERR2274901,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274901_1.fastq.gz,/scratch/users/tbencomo/nmsc-data/fastq/ERR2274901_2.fastq.gz
PRJNA556128,Li-P1-N,NS,SRR9733629,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733629_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733629_2.fastq
PRJNA556128,Li-P1-T,SCC,SRR9733628,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733628_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733628_2.fastq
PRJNA556128,Li-P2-N,NS,SRR9733626,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733626_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733626_2.fastq
PRJNA556128,Li-P2-T,SCC,SRR9733625,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733625_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733625_2.fastq
PRJNA556128,Li-P3-N,NS,SRR9733624,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733624_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733624_2.fastq
PRJNA556128,Li-P3-T,SCC,SRR9733627,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733627_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733627_2.fastq
PRJNA556128,Li-P4-N,NS,SRR9733623,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733623_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733623_2.fastq
PRJNA556128,Li-P4-T,SCC,SRR9733622,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733622_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733622_2.fastq
PRJNA556128,Li-P5-N,NS,SRR9733631,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733631_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733631_2.fastq
PRJNA556128,Li-P5-T,SCC,SRR9733630,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733630_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733630_2.fastq
PRJNA556128,Li-P6-N,NS,SRR9733621,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733621_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733621_2.fastq
PRJNA556128,Li-P6-T,SCC,SRR9733620,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733620_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733620_2.fastq
PRJNA556128,Li-P7-N,NS,SRR9733618,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733618_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733618_2.fastq
PRJNA556128,Li-P7-T,SCC,SRR9733617,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733617_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733617_2.fastq
PRJNA556128,Li-P8-N,NS,SRR9733616,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733616_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733616_2.fastq
PRJNA556128,Li-P8-T,SCC,SRR9733619,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733619_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR9733619_2.fastq
NWD,NWD-16-AK,AK,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/16b-AK-RNA_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/16b-AK-RNA_R2.fastq.gz
NWD,NWD-16-NS,NS,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/16a-NS_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/16a-NS_R2.fastq.gz
NWD,NWD-16-SCC,SCC,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/16c-SCC_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/16c-SCC_R2.fastq.gz
NWD,NWD-24-AK,AK,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/24b-AK-RNA_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/24b-AK-RNA_R2.fastq.gz
NWD,NWD-24-NS,NS,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/24a-NS_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/24a-NS_R2.fastq.gz
NWD,NWD-24-SCC,SCC,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/24c-SCC_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/24c-SCC_R2.fastq.gz
NWD,NWD-29-AK,AK,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/29b-AK-RNA_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/29b-AK-RNA_R2.fastq.gz
NWD,NWD-29-NS,NS,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/29a-NS_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/29a-NS_R2.fastq.gz
NWD,NWD-29-SCC,SCC,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/29c-SCC_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/29c-SCC_R2.fastq.gz
NWD,NWD-32-AK,AK,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/32b-AK-RNA_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/32b-AK-RNA_R2.fastq.gz
NWD,NWD-32-NS,NS,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/32a-NS_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/32a-NS_R2.fastq.gz
NWD,NWD-32-SCC,SCC,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/32c-SCC_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/32c-SCC_R2.fastq.gz
NWD,NWD-33-AK,AK,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/33b-AK-RNA_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/33b-AK-RNA_R2.fastq.gz
NWD,NWD-33-NS,NS,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/33a-NS_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/33a-NS_R2.fastq.gz
NWD,NWD-33-SCC,SCC,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/33c-SCC_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/33c-SCC_R2.fastq.gz
NWD,NWD-34-AK,AK,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/34b-AK-RNA_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/34b-AK-RNA_R2.fastq.gz
NWD,NWD-34-NS,NS,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/34a-NS_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/34a-NS_R2.fastq.gz
NWD,NWD-34-SCC,SCC,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/34c-SCC_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/34c-SCC_R2.fastq.gz
NWD,NWD-44-AK,AK,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/44b-AK-RNA_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/44b-AK-RNA_R2.fastq.gz
NWD,NWD-44-NS,NS,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/44a-NS_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/44a-NS_R2.fastq.gz
NWD,NWD-44-SCC,SCC,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/44c-SCC_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/44c-SCC_R2.fastq.gz
NWD,NWD-45-AK,AK,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/45b-AK-RNA_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/45b-AK-RNA_R2.fastq.gz
NWD,NWD-45-NS,NS,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/45a-NS_CW_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/45a-NS_CW_R2.fastq.gz
NWD,NWD-45-SCC,SCC,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/45c-SCC_CW_R1.fastq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/45c-SCC_CW_R2.fastq.gz
Lee,Lee-100-NS,NS,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/ctrl_100_1.fq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/ctrl_100_2.fq.gz
Lee,Lee-100-SCC,SCC,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/scc_100_1.fq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/scc_100_2.fq.gz
Lee,Lee-82-NS,NS,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/ctrl_82_1.fq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/ctrl_82_2.fq.gz
Lee,Lee-82-SCC,SCC,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/scc_82_1.fq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/scc_82_2.fq.gz
Lee,Lee-93-NS,NS,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/ctrl_93_1.fq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/ctrl_93_2.fq.gz
Lee,Lee-93-SCC,SCC,NA,/scratch/groups/carilee/lab-datasets/scc-rnaseq/scc_93_1.fq.gz,/scratch/groups/carilee/lab-datasets/scc-rnaseq/scc_93_2.fq.gz
